4,0,0,21,25,4,1,3,
10,1,0,4,24,15,2,9,
10,1,0,18,31,0,1,8,
4,2,0,0,7,4,41,2,
4,2,0,0,7,4,6,2,
4,1,0,19,34,2,1,2,
2,0,0,16,13,1,1,2,
4,1,0,0,9,0,7,4,
25,1,2,11,93,190,2,11,
5,1,0,0,8,4,1,4,
5,2,0,0,14,8,12,3,
2,1,0,1,7,1,1,2,
4,0,0,8,8,6,1,1,
1,1,13,1,2,0,13,1,
5,2,0,0,13,6,12,3,
4,2,0,0,7,4,9,2,
4,1,3,7,8,4,3,1,
2,1,0,3,2,1,1,2,
1,1,0,0,1,0,2,1,
3,1,0,6,6,3,1,3,
9,1,0,3,14,16,9,9,
4,0,0,12,12,6,1,1,
5,1,0,21,34,0,1,4,
10,0,0,10,25,0,2,9,
1,1,0,1,1,0,85,1,
3,1,4,2,11,3,4,2,
4,0,0,12,14,6,1,1,
4,2,0,0,7,4,1,2,
3,0,0,12,19,0,1,2,
19,1,0,3,48,35,8,18,
7,1,1,3,21,9,1,3,
14,1,0,2,27,0,21,11,
3,0,0,8,7,1,1,0,
3,1,5,1,4,1,5,2,
4,0,0,9,13,4,1,3,
3,1,0,2,10,0,1,2,
4,0,0,4,23,6,2,2,
2,1,0,5,5,1,48,2,
15,1,0,4,58,57,1,8,
4,2,0,1,7,4,5,2,
3,1,1,8,14,0,3,3,
6,0,0,31,61,15,4,1,
8,1,0,20,31,26,6,3,
4,1,0,3,13,0,1,3,
11,3,0,3,27,27,6,11,
3,1,0,10,14,1,1,3,
4,1,0,7,17,0,0,2,
14,0,12,42,83,83,15,6,
4,0,0,8,9,6,1,1,
3,0,0,3,21,3,0,2,
4,1,0,6,17,0,1,2,
3,0,0,1,4,1,4,1,
3,0,0,4,8,3,1,1,
3,1,0,1,4,3,1,3,
3,0,0,22,23,0,4,3,
4,0,0,11,11,4,2,3,
3,0,0,5,9,3,1,1,
8,1,0,16,22,16,1,7,
5,0,0,4,8,10,1,5,
3,1,0,2,18,0,1,2,
4,2,0,0,7,4,0,2,
5,1,0,1,7,10,0,5,
4,1,0,1,12,0,9,4,
3,1,0,1,6,3,1,2,
2,1,0,4,10,0,1,2,
6,0,0,8,10,15,1,6,
5,2,0,0,11,6,1,3,
6,0,0,9,11,13,1,6,
3,0,0,4,8,3,1,1,
3,0,0,4,4,1,5,3,
2,1,0,3,23,0,0,2,
3,0,0,4,8,3,1,1,
5,1,0,11,33,2,0,3,
19,1,0,27,131,85,1,4,
5,0,0,4,10,8,1,5,
9,1,0,5,28,0,1,8,
4,0,0,11,17,0,1,4,
9,1,0,21,94,12,2,3,
9,1,0,17,66,10,2,4,
11,1,0,4,36,0,1,11,
2,1,0,3,2,1,4,2,
5,0,0,15,18,0,1,3,
19,1,0,22,62,91,3,14,
2,0,0,4,5,0,1,2,
3,1,0,19,21,0,0,2,
4,0,0,8,9,6,1,1,
1,1,0,0,1,0,11,1,
3,1,0,5,4,3,1,3,
3,1,0,5,8,3,1,3,
9,0,0,8,38,0,2,8,
7,2,0,0,13,0,1,7,
5,1,0,2,11,0,12,5,
4,1,0,1,10,0,3,3,
